,processed_text,ad_creative_body,Prevention,Treatment,Diagnosis,Mechanism,Case Report,Transmission,Forecasting,General
10,ScamAlert We have received reports of a scam phone call targeting Kent residents claiming to be BT Openreach This is a SCAM BT Openreach will never contact you out of the blue as they do not provide internet service directly They are responsible for running and maintaining the phone and broadband network are not directly involved with the public On their website BT Openreach say Openreach will never ask you for personal information like bank details either in person over the phone or by email We ll also never ask to remotely access your computer phone or tablet So if someone gets in touch saying they re from Openreach and asks for any personal information don t give it to them For advice and to report scams contact Citizens Advice via the website or call Due to Covid we have seen an increase in scams Please share this alert with friends and family ConnectedCommunities ScamAware StaySafe,"#ScamAlert⚠️We have received reports of a scam phone call targeting #Kent residents, claiming to be BT Openreach. 

This is a SCAM❗ BT Openreach will never contact you out of the blue, as they do not provide internet service directly. They are responsible for running and maintaining the phone and broadband network & are not directly involved with the public.

On their website BT Openreach say:
“Openreach will never ask you for personal information like bank details – either in person, over the phone or by email. We’ll also never ask to remotely access your computer, phone or tablet. So if someone gets in touch saying they’re from Openreach and asks for any personal information, don’t give it to them.”

For advice and to report scams, contact Citizens Advice via the website: https://bit.ly/3d80nCc or call 0808 250 5050.

Due to #Covid, we have seen an increase in scams. Please share this alert with friends and family!

#ConnectedCommunities #ScamAware #StaySafe",0,0,0,0,0,0,0,1
11,Exposed to COVID in MN with no compensation,Exposed to COVID in MN with no compensation?,0,0,0,0,0,0,0,1
12,Families need a lifeline but just when we need help the most the U S Senates failed to act before the New Year to extend the monthly Child Tax Credit payments and pass key policies like paid family and medical leave and also child care that would have helped families businesses and our economy weather this COVID surge Tell them that families need action NOW,"Families need a lifeline, but just when we need help the most, the U.S. Senates failed to act before the New Year to extend the monthly Child Tax Credit payments and pass key policies like paid family and medical leave and also child care that would have helped families, businesses, and our economy weather this COVID-19 surge. Tell them that families need action NOW:
https://moms.ly/3fhLUr3",0,0,0,0,0,0,0,1
13,Self isolation guidance for people who test positive for COVID in England has changed From today people can leave self isolation after five full days if they test negative on days and,"Self-isolation guidance for people who test positive for COVID-19 in England has changed.

From today, people can leave self-isolation after five full days if they test negative on days 5 and 6.

https://www.nhs.uk/conditions/coronavirus-covid-19/self-isolation-and-treatment/how-long-to-self-isolate/",1,0,1,0,0,0,0,0
14,Nearly percent of vaccinated residents in Mass who caught COVID avoided hospitalization death public health officials say The Boston Globe vaccination vaccinated today vaccinecertificate vaccinatedandhappy vaccineunder covid covid,"Nearly 97 percent of vaccinated residents in Mass. who caught COVID avoided hospitalization, death, public health officials say

https://www.bostonglobe.com/2021/12/20/metro/nearly-97-percent-vaccinated-residents-mass-who-caught-covid-avoided-hospitalization-death-public-health-officials-say/

The Boston Globe #vaccination2022 #vaccinated_today #vaccinecertificate #vaccinatedandhappy #vaccineunder18 #covid   #covid19",0,1,0,0,0,0,0,0
15,Vaccinations are FREE and NO DOCUMENTATION is required Pre registration encouraged Walk ins available Bring proof of COVID vaccination for booster The vaccines that will be available Moderna COVID first dose second dose and booster shot Pfizer COVID first dose second dose and booster shot Pfizer COVID vaccines for children Flu vaccinations available for all ages,"Vaccinations are FREE and NO DOCUMENTATION is required.
Pre-registration encouraged. Walk-ins available. Bring proof of COVID-19 vaccination for booster.
The vaccines that will be available: 
➡️ Moderna COVID-19 first dose, second dose and booster shot
➡️ Pfizer COVID-19 first dose, second dose and booster shot
➡️ Pfizer COVID-19 vaccines for children 5-11 
➡️ Flu vaccinations available for all ages",0,1,1,0,0,0,0,0
16,The groundbreaking Sunday Times bestseller from Tim Spector author of The Diet Myth and creator of the COVID Symptom Study app,"The groundbreaking #1 Sunday Times bestseller from Tim Spector, author of The Diet Myth and creator of the COVID Symptom Study app",0,0,0,0,0,0,0,1
17,CBS cut a segment from TV where correspondent Jan Crawford highlighted the grim effects COVID lockdowns have had on kids,CBS cut a segment from TV where correspondent Jan Crawford highlighted the grim effects COVID lockdowns have had on kids.,0,0,0,0,0,0,0,1
18,Soooooo Let me understand this the CDC is now moving the goal posts for quarantine duration I have no issue whatsoever getting people back to work sooner than later none I agree at this point we have little choice considering the circumstances Some of the wounds we have suffered are unavoidable and others are the worst kind self inflicted wounds Because of FAKE news and lousy handing of this pandemic from day we are where we are today All the wrong people have been at the podium and the CDC has become a political organization Full stop I also understand the need for a balanced approach and dealing with a crisis of epic proportions However DO NOT tout science when you are making NON scientific decisions in order to try and balance the reality of what is needed at this time in the real world MILLIONS of people CHOSE their personal freedoms over being a patriotic American and doing the right thing We now have of people currently in hospitalized with COVID are the UNVACCINATED and OVERWHELMING the healthcare system costing the taxpayers billions with a B in All the while a FREE and readily available vaccine was and is available to prevent this calamity LET ME SAY THAT AGAIN A FREE AND READILY AVAILABLE VACCINE WAS AND IS AVAILABLE TO PREVENT THIS CALAMITY Yes I am not ignorant enough to not admit that occasionally a person vaccinated will unfortunately get admitted to the hospital with COVID despite their best efforts Yes that is a thing Nothing is full proof With that being said what do we mean when we say overwhelm the healthcare system what does that look like It means the doctors nurses cleaning people transport crews greeters EMTs nursing aides cooks lab technicians and on and on cannot sustain this tragedy at the level of response needed to take care of people Don t worry at all about hospital administration which includes now doctors and nurses now because they ran for the hills and were the first ones in line for a vaccine under the tent They even got their friends and families vaccinated before it was even available to the public at large They ll be just fine Why Because they are thieves of the worst kind So what systems have to deal with is not only COVID patients but the run through traffic that walks through our ERs every single day Especially this time of year People who have heart attacks strokes kidney or heart failure cancer related issues trauma and so on What do you think There are endless hospitals that go at your call in a good year that are just waiting open arms to care for an additional hundreds or thousands of patients in a moments notice WHERE do you put those sick people when there is no where to put them and NO ONE to truly care for them Don t think for one second that during wave people in hospitals didn t die of unintended neglect because they did We barely had PPE let alone a room reservation So since we need to get healthcare teams back working again ASAP to take care of the country in their times of most need SCREW THEM again Come on back early Let s overwork under pay the people who SELFLESSLY put themselves in HARMS way every single day to care for other citizens in our UN Unified country No problem come on back in essential workers Nurses already had nursing to patient ratios that were ridiculous to begin because hospitals are cheap to pay for more nurses They would rather ensure their salaries and make cuts to the true essentials in essential workers WHO do you think is really caring for patient during this pandemic Thats right NURSES Arguably the backbone and the glue that holds hospital units together all day everyday But hey you re not infectious anymore Why Because we say so Maybe not infectious but maybe so That s what I want an overworked recently sick amazing ICU nurse that may be shedding virus taking care of my mother in the ICU when she is deathly sick with something other than COVID only to contract COVID Really Is that where we are Guess we are so desperate we have no choice And you know what We do it We will do it Because we have a conscience We have a heart We have love for those that we don t know and have never met because we love what we do and because we believe in a purpose greater than ourselves So IF we can We will be there for YOU AMERICA So back to the science Honestly though based on what Everyone speaks to science They are speaking antiquated science at best To me it s all smoke and mirrors What data regarding OMICRON is currently available to guide this reduced quarantine time What What we know about Omicron is that it is the most contagious strain we have seen this far So contagious that it wiped out Delta in a matter of WEEKS to take the number spot on the list This new goal post shift is based on data from prior strains of COVID not OMICRON This is unacceptable In my neighborhood it s called BS Just be forthright and truthful It s really that simple We can handle the truth because we already know what and why you are doing it Even the biggest advocates of vaccinations masking distancing etc will begin to turn on you Get a spine Here s the truth Most testing is nonsense The rapid test is a waste of time Too early you ll miss it days later repeat it or get a PCR and it s positive In the meantime you ve infected likely tens of other people in your circle When people are sick they know When they aren t they aren t Yes you can be a carrier no doubt and be without symptoms BUT most people walking around have no idea they are and most aren t testing themselves So unless you are TESTING EVERYONE It s virtually useless The only role in my eyes for testing at this point is TEST to RETURN to work That makes sense The numbers of currently infected are grossly underestimated By millions Why Because we don t have a testing infra structure never did Almost everyone has either had is infected symptoms or not or will get infected with some form of coronavirus of the COVID variant variety The numbers that get posted and all the news media attention are INACCURATE AT BEST and probably underestimate by millions of people in this country alone Right now we are lucky the virus is evolving into a more contagious less deadly strain OMICRON However the potential remains that a new more virulent and deadly strain can develop Soooooo GO GET VACCINATED GET BOOSTED Eventually just like the flu we will have some true anti viral oral medications to treat people outside the hospital to prevent hospitalizations We are close When that happens you should still get vaccinated given that these vaccines are VERY SAFE and EXTREMELY EFFECTIVE against different strains clearly not all at this point Honestly if you are unvaccinated and get sick requiring hospitalization that s on you Your body your choice your freedom NO PROBLEM It s AMERICA after all I can do whatever I want when I want right NOT I can give you a hundred examples where that doesn t apply and you comply without question So spare the rhetoric It s also called BS If you are unvaccinated and get COVID then please stay the hell out of the hospital and be a grown up We teach our children this all the time Actions have consequences Don t they You don t trust the medical community enough to take a simple vaccine why the hell do you trust me then with your life when you get sick What changes Now you realize your potential for mortality Save me save me Sorry shouldn t work that way Live with your freedom and accept your choice Don t endanger me my team and my family that behaved like responsible adults and did the right thing Unless you want a hand out Literally LIVE FREE DIE HARD Andrey Espinoza MD FACC FSCAI RPVI Extremely frustrated physician,"Soooooo….

Let me understand this…the CDC is now moving the goal posts for quarantine duration?!

I have no issue whatsoever getting people back to work sooner than later…..none. I agree at this point we have little choice considering the circumstances.

Some of the wounds we have suffered are unavoidable and others are the worst kind….self-inflicted wounds.

Because of FAKE news and lousy handing of this pandemic from day 1 we are where we are today!

All the wrong people have been at the podium and the CDC has become a political organization. Full stop.

I also understand the need for a “balanced” approach and dealing with a crisis of epic proportions.

However, DO NOT tout science when you are making NON-scientific decisions in order to try and balance the reality of what is needed at this time in the real world.

MILLIONS of people CHOSE their personal “freedoms” over being a patriotic American and doing the right thing. We now have 85% of people currently in hospitalized with COVID are the UNVACCINATED and OVERWHELMING the healthcare system, costing the taxpayers billions with a B in $$$.

All the while a FREE and readily available vaccine was and is available to prevent this calamity! 

LET ME SAY THAT AGAIN. A FREE AND READILY AVAILABLE VACCINE WAS AND IS AVAILABLE TO PREVENT THIS CALAMITY!

Yes, I am not ignorant enough to not admit that occasionally a person vaccinated will unfortunately get admitted to the hospital with COVID despite their best efforts. Yes that is a thing. Nothing is full proof.

With that being said, what do we mean when we say overwhelm the healthcare system ….what does that look like?

It means the doctors, nurses, cleaning people, transport crews, greeters, EMTs, nursing aides, cooks, lab technicians and on and on cannot sustain this tragedy at the level of response needed to take care of people !!

Don’t worry at all about hospital administration which includes now doctors and nurses now because they ran for the hills and were the first ones in line for a vaccine under the tent. They even got their friends and families vaccinated before it was even available to the public at large. They’ll be just fine. Why? Because they are thieves of the worst kind.

So what systems have to deal with is not only COVID patients but the run through traffic that walks through our ERs every single day.

Especially this time of year.

People who have heart attacks, strokes, kidney or heart failure, cancer related issues, trauma and so on!

What do you think? There are endless hospitals that go 24/7... 365 at your call in a good year that are just waiting open arms to care for an additional hundreds or thousands of patients in a moments notice?

WHERE do you put those sick people when there is no where to put them and NO ONE to truly care for them?

Don’t think for one second that during wave 1 people in hospitals didn’t die of unintended neglect because they did.

We barely had PPE let alone a room reservation!

So, since we need to get healthcare teams back working again ASAP to take care of the country in their times of most need ….SCREW THEM again. Come on back early.

Let’s overwork, under pay the people who SELFLESSLY put themselves in HARMS way every single day to care for other citizens in our UN-Unified country. No problem come on back in “essential” workers. 

Nurses already had nursing to patient ratios that were ridiculous to begin because hospitals are cheap to pay for more nurses. They would rather ensure their salaries and make cuts to the true essentials in ""essential workers. WHO do you think is really caring for patient during this pandemic??  Thats right NURSES. 

Arguably the backbone and the glue that holds hospital units together all day everyday. 

But hey you’re not infectious anymore. Why? Because we say so! 

Maybe not infectious but maybe so.

That’s what I want…an overworked recently sick amazing ICU nurse that may be shedding virus taking care of my mother in the ICU when she is deathly sick with something other than COVID only to contract COVID? Really??? Is that where we are? . Guess we are so desperate we have no choice?

And you know what! We do it. We will do it . Because we have a conscience. We have a heart. We have love for those that we don’t know and have never met because we love what we do and because we believe in a purpose greater than ourselves.

So IF we can. We will be there for YOU AMERICA.

So back to the science. Honestly though based on what?? Everyone speaks to science. They are speaking antiquated science at best. To me it’s all smoke and mirrors.

What data regarding OMICRON is currently available to guide this reduced quarantine time ??? What? What we know about Omicron is that it is the most contagious strain we have seen this far. So contagious that it wiped out Delta in a matter of WEEKS to take the number 1 spot on the list!

This new goal post shift is based on data from prior strains of COVID not OMICRON!!!

This is unacceptable. In my neighborhood it’s called BS.

Just be forthright and truthful.

It’s really that simple. We can handle the truth because we already know what and why you are doing it!

Even the biggest advocates of vaccinations, masking, distancing etc will begin to turn on you!

Get a spine.

Here’s the truth. Most testing is nonsense. The rapid test is a waste of time. Too early you’ll miss it.

3 days later repeat it or get a PCR and it’s positive.

In the meantime, you’ve infected likely tens of other people in your circle.

When people are “sick” they know.

When they aren’t they aren’t.

Yes you can be a carrier no doubt and be without symptoms.

BUT most people walking around have no idea they are and most aren’t testing themselves. So unless you are TESTING EVERYONE. It’s virtually useless.

The only role in my eyes for testing at this point is TEST to RETURN to work. That makes sense. 

The numbers of currently infected are grossly underestimated! By millions! Why ?!! Because we don’t have a testing infra-structure ...never did!

""Almost"" everyone has either had, is infected (symptoms or not) or will get infected with some form of coronavirus of the COVID variant variety.

The numbers that get posted and all the news media attention are INACCURATE AT BEST, and probably underestimate by millions of people in this country alone.

Right now we are lucky the virus is evolving into a more contagious less deadly strain (OMICRON).

However, the potential remains that a new more virulent and deadly strain can develop.

Soooooo, GO GET VACCINATED, GET BOOSTED!

Eventually just like the flu we will have some true anti-viral oral medications to treat people outside the hospital to prevent hospitalizations ! We are close. When that happens you should still get vaccinated given that these vaccines are VERY SAFE and EXTREMELY EFFECTIVE against different strains, clearly not all at this point.

Honestly, if you are unvaccinated and get sick requiring hospitalization that’s on you! 

Your body, your choice, your freedom.

NO PROBLEM! It’s AMERICA after-all! 

I can do whatever I want when I want right?! 

NOT. I can give you a hundred examples where that doesn’t apply and you comply without question. So spare the rhetoric. It’s also called BS.

If you are unvaccinated and get COVID then please stay the hell out of the hospital and be a grown up.

We teach our children this all the time. Actions have consequences! Don’t they?

You don’t trust the medical community enough to take a simple vaccine why the hell do you trust me then with your life when you get sick!? What changes? Now you realize your potential for mortality? Save me, save me? Sorry shouldn’t work that way.

Live with your freedom and accept your choice.

Don’t endanger me, my team and my family that behaved like responsible adults and did the right thing.

Unless you want a “hand” out. Literally.

LIVE FREE DIE HARD. 

Andrey Espinoza MD FACC FSCAI RPVI
Extremely frustrated physician",0,1,0,0,1,0,0,1
19,Today in the UK House of Commons I asked the Health Secretary to help us get a walk in or pop up Covid booster jab site in Winchester Am now following up his positive response with the Minister and our local NHS Hampshire Chronicle Winchester Magazine Hampshire Hospitals NHS Foundation Trust,"Today in the UK House of Commons I asked the Health Secretary to help us get a walk-in or pop-up Covid booster jab site in Winchester. Am now following up his positive response with the Minister and our local NHS.

https://www.stevebrine.com/news/we-need-walk-covid-booster-site-winchester-says-mp

Hampshire Chronicle Winchester Magazine Hampshire Hospitals NHS Foundation Trust",0,1,0,0,0,0,0,1
20,Kate Brown and Tobias Read are FORCING the COVID Vaccine on Oregonians If you believe your health should be your decision sign our petition,"Kate Brown and Tobias Read are FORCING the COVID Vaccine on Oregonians. If you believe your health should be your decision, sign our petition!",0,1,0,0,0,0,0,0
21,Slow down I need you to see this before midnight tonight Why is it that in Georgia you cannot register to vote on election day but you can purchase a firearm and pick it up on the same day We fought hard and fought fair to win the White House and Senate Now GOP lawmakers are trying to RESTRICT the vote and ensure Democrats can NEVER win another election Out of everything they could focus on all the challenges we face Even for them this is low Lives are on the line whether it s due to COVID or the seemingly never ending pandemic of gun violence We have too much at stake to let the GOP continue their brazen assault on our democracy That s why I need you I still need grassroots Democrats to raise their voices with mine before midnight tonight so don t delay,"Slow down, I 𝐫𝐞𝐚𝐥𝐥𝐲 need you to see this before midnight tonight...

𝐈’𝐦 𝐨𝐮𝐭𝐫𝐚𝐠𝐞𝐝. Why is it that in Georgia you cannot register to vote on election day, but you can purchase a firearm and pick it up on the same day? 𝐓𝐡𝐢𝐬 𝐡𝐚𝐬 𝐭𝐨 𝐬𝐭𝐨𝐩 🛑

𝐖𝐄 𝐍𝐄𝐄𝐃 𝟕𝟏𝟗 𝐒𝐈𝐆𝐍𝐄𝐑𝐒 𝐁𝐄𝐅𝐎𝐑𝐄 𝟏𝟏:𝟓𝟗 𝐏.𝐌. 𝐓𝐎𝐍𝐈𝐆𝐇𝐓: We fought hard – and fought fair – to win the White House and Senate. Now GOP lawmakers are trying to RESTRICT the vote and ensure Democrats can NEVER win another election. Out of everything they could focus on, all the challenges we face, 𝐑𝐞𝐩𝐮𝐛𝐥𝐢𝐜𝐚𝐧𝐬 𝐡𝐚𝐯𝐞 𝐝𝐞𝐜𝐢𝐝𝐞𝐝 𝐭𝐡𝐞𝐢𝐫 𝐭𝐨𝐩 𝐩𝐫𝐢𝐨𝐫𝐢𝐭𝐲 𝐢𝐬 𝐭𝐨 𝐢𝐧𝐭𝐫𝐨𝐝𝐮𝐜𝐞 𝐎𝐕𝐄𝐑 𝟐𝟓𝟎 𝐕𝐎𝐓𝐄𝐑 𝐒𝐔𝐏𝐏𝐑𝐄𝐒𝐒𝐈𝐎𝐍 𝐁𝐈𝐋𝐋𝐒❗️

Even for them, this is low.

𝐓𝐡𝐚𝐭’𝐬 𝐰𝐡𝐲 𝐈 𝐧𝐞𝐞𝐝 𝐲𝐨𝐮𝐫 𝐡𝐞𝐥𝐩 – 𝐍𝐎𝐖. Lives are on the line, whether it’s due to COVID-19 or the seemingly never-ending pandemic of gun violence. We have too much at stake to let the GOP continue their brazen assault on our democracy. That’s why I need you – I still need 719 grassroots Democrats to raise their voices with mine before midnight tonight, so don’t delay: 𝐒𝐢𝐠𝐧 𝐭𝐡𝐞 𝐩𝐞𝐭𝐢𝐭𝐢𝐨𝐧 𝐧𝐨𝐰 𝐭𝐨 𝐬𝐭𝐨𝐩 𝐯𝐨𝐭𝐞𝐫 𝐬𝐮𝐩𝐩𝐫𝐞𝐬𝐬𝐢𝐨𝐧! >>",0,0,0,0,0,0,0,1
22,Covid conflict and climate change make a deadly recipe for hunger for millions of people around the world,"Covid, conflict and climate change make a deadly recipe for hunger for millions of people around the world.",0,0,0,0,0,0,1,1
23,Transportation shouldn t be a barrier to vaccination Whether it s to or from your preferred vaccination location public transportation options can get you there including free transportation to Seniors with vaccination appointments For more information about the Covid vaccine visit VaxOKC com,"Transportation shouldn’t be a barrier to vaccination. Whether it’s to or from your preferred vaccination location, @EmbarkOK’s public transportation options can get you there – including free transportation to Seniors with vaccination appointments. For more information about the Covid-19 vaccine, visit VaxOKC.com.",0,1,0,0,0,0,0,0
24,KIPPER SEASON TO END Taxi driver work levels set to return after Plan B COVID measures removed Is this the beginning of high demand,"‘KIPPER SEASON’ TO END? Taxi driver work levels set to return after Plan B COVID measures removed

Is this the beginning of high demand?",1,0,0,0,0,0,0,0
25,Berlin born Werner Reich says The Holocaust could happen again if we are not observant and if we don t focus on humanity being taught to be ethical Werner says the biggest problem with the continued rise in antisemitism is that not enough emphasis is placed on how to prevent these types of atrocities from happening again What is needed he says is an emphasis on ethical education Werner and other Holocaust survivors from around the world are participating in the global CantBeCompared campaign ahead of International Holocaust Remembrance Day against a backdrop of the growing trivialization of the Holocaust especially in the context of the Covid pandemic which has seen comparisons made between pandemic restrictions and Nazi measures against Jews during the Holocaust,"Berlin-born Werner Reich says, “The Holocaust could happen again if we are not observant and if we don’t focus on humanity being taught to be ethical.”  

Werner says the biggest problem with the continued rise in antisemitism is that not enough emphasis is placed on how to prevent these types of atrocities from happening again. What is needed, he says, is an emphasis on ethical education. 

Werner and other Holocaust survivors from around the world, are participating in the global #CantBeCompared campaign ahead of International Holocaust Remembrance Day, against a backdrop of the growing trivialization of the Holocaust, especially in the context of the Covid-19 pandemic, which has seen comparisons made between pandemic restrictions and Nazi measures against Jews during the Holocaust.",0,0,0,0,0,0,0,1
26,Updated ranking of things we want in Houston County COVID to Go Away Costco Bass Pro Shop Dog Park in West Dothan N R ALDI,"Updated ranking of things we want in Houston County 😆

1. COVID to Go Away 🔼 4️⃣
2. Costco 🔼 2️⃣
3. Bass Pro Shop 🔽 1️⃣
4. Dog Park in West Dothan 🔼 N/R
5. ALDI ↔️",0,0,0,0,0,0,0,1
27,Just recently multi million dollar actor rapper and film producer O Shea Jackson Sr better known as Ice Cube made headlines because he reportedly refuses to be vaccinated for Covid According to media posts Ice Cube has walked away from a million comedy movie deal after the film producers reportedly requested that all cast members be vaccinated Learn more here,"Just recently, multi-million dollar actor, rapper, and film producer, O’Shea Jackson Sr., better known as Ice Cube, made headlines because he reportedly refuses to be vaccinated for Covid-19.  

According to media posts, Ice Cube has walked away from a $9 million comedy movie deal after the film producers reportedly requested that all cast members be vaccinated.

Learn more here!",0,1,0,0,0,0,0,0
28,Ongoing uncertainty around Covid and soaring food prices are hitting vulnerable families hard across the country This Christmas make a donation and you could help families in urgent need,Ongoing uncertainty around Covid and soaring food prices are hitting vulnerable families hard across the country. This Christmas make a donation and you could help families in urgent need.,0,0,0,0,0,0,0,1
29,China first introduced its Zero COVID policy following the outbreak in Wuhan Since Wuhan s successful return to normal China has adopted its severe strategy nationwide At all costs Council on Foreign Relations Yanzhong Huang joins Ian Bremmer on GZEROWorld,"China first introduced its Zero COVID policy following the outbreak in Wuhan.

Since Wuhan’s successful return to “normal,” China has adopted its severe strategy nationwide.

At all costs.

Council on Foreign Relations’ Yanzhong Huang joins Ian Bremmer on #GZEROWorld

https://www.gzeromedia.com/gzero-world-with-ian-bremmer/",1,0,0,0,1,0,0,0
