,Unnamed: 0,id,Prevention,Treatment,Diagnosis,Mechanism,Case Report,Transmission,Forecasting,General,Political,processed_text,ad_creation_time,page_name,page_id,funding_entity,region_distribution,Unnamed: 16,potential_reach,demographic_distribution,spend,currency,ad_creative_body
348,348,520905189248457.0,1.0,,1.0,,,,,,1.0,"Free handouts from the government like the free tests and masks he announced will not fix Biden s COVID failures Opinion Politics USNews COVID FaceMasks
",2022-01-13,The Liberty Loft,789696478072946.0,The Liberty loft,"[{'percentage': '0.013433', 'region': 'Alabama'}, {'percentage': '0.03806', 'region': 'Pennsylvania'}, {'percentage': '0.004478', 'region': 'New Hampshire'}, {'percentage': '0.015672', 'region': 'New Jersey'}, {'percentage': '0.005224', 'region': 'New Mexico'}, {'percentage': '0.033582', 'region': 'New York'}, {'percentage': '0.025373', 'region': 'North Carolina'}, {'percentage': '0.006716', 'region': 'North Dakota'}, {'percentage': '0.051493', 'region': 'Ohio'}, {'percentage': '0.027612', 'region': 'Oklahoma'}, {'percentage': '0.01194', 'region': 'Oregon'}, {'percentage': '0.002239', 'region': 'Rhode Island'}, {'percentage': '0.006716', 'region': 'Nebraska'}, {'percentage': '0.022388', 'region': 'South Carolina'}, {'percentage': '0.004478', 'region': 'South Dakota'}, {'percentage': '0.028358', 'region': 'Tennessee'}, {'percentage': '0.058209', 'region': 'Texas'}, {'percentage': '0.007463', 'region': 'Utah'}, {'percentage': '0.020896', 'region': 'Virginia'}, {'percentage': '0.018657', 'region': 'Washington'}, {'percentage': '0.00597', 'region': 'West Virginia'}, {'percentage': '0.030597', 'region': 'Wisconsin'}, {'percentage': '0.005224', 'region': 'Wyoming'}, {'percentage': '0.006716', 'region': 'Nevada'}, {'percentage': '0.002985', 'region': 'Montana'}, {'percentage': '0.00597', 'region': 'Alaska'}, {'percentage': '0.06194', 'region': 'Illinois'}, {'percentage': '0.019403', 'region': 'Arizona'}, {'percentage': '0.012687', 'region': 'Arkansas'}, {'percentage': '0.041791', 'region': 'California'}, {'percentage': '0.014179', 'region': 'Colorado'}, {'percentage': '0.009701', 'region': 'Connecticut'}, {'percentage': '0.002985', 'region': 'Delaware'}, {'percentage': '0.047015', 'region': 'Florida'}, {'percentage': '0.021642', 'region': 'Georgia'}, {'percentage': '0.002239', 'region': 'Hawaii'}, {'percentage': '0.009701', 'region': 'Idaho'}, {'percentage': '0.038806', 'region': 'Indiana'}, {'percentage': '0.027612', 'region': 'Missouri'}, {'percentage': '0.020149', 'region': 'Iowa'}, {'percentage': '0.017164', 'region': 'Kansas'}, {'percentage': '0.027612', 'region': 'Kentucky'}, {'percentage': '0.015672', 'region': 'Louisiana'}, {'percentage': '0.008955', 'region': 'Maine'}, {'percentage': '0.014925', 'region': 'Maryland'}, {'percentage': '0.025373', 'region': 'Massachusetts'}, {'percentage': '0.058209', 'region': 'Michigan'}, {'percentage': '0.023134', 'region': 'Minnesota'}, {'percentage': '0.016418', 'region': 'Mississippi'}, {'percentage': '0.002239', 'region': 'Vermont'}]",,{'lower_bound': '1000001'},"[{'percentage': '0.001488', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.023065', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.000744', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.000744', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.004464', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.006696', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.008929', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.002976', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.138393', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.002976', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.182292', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.186012', 'age': '65+', 'gender': 'male'}, {'percentage': '0.0625', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.05878', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.02381', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.295387', 'age': '65+', 'gender': 'female'}, {'percentage': '0.000744', 'age': '18-24', 'gender': 'female'}]","{'lower_bound': '0', 'upper_bound': '99'}",USD,"Families need a lifeline, but just when we need help the most, the U.S. Senates failed to act before the New Year to extend the monthly Child Tax Credit payments and pass key policies like paid family and medical leave and also child care that would have helped families, businesses, and our economy weather this COVID-19 surge. Tell them that families need action NOW:
https://moms.ly/3fhLUr3"
349,349,656198408900979.0,,,1.0,,,,,,,"In this video I ll be updating you on what I m working on Juvenile lifer bills SB and DHHS nursing home free at home COVID tests COVIDTests gov the filibuster and the future of voting rights
",2022-01-24,Senator Adam Hollier,1424470000000000.0,Senator Adam Hollier,"[{'percentage': '0.999946', 'region': 'Michigan'}, {'percentage': '5.4E-5', 'region': 'New York'}]",,"{'lower_bound': '50001', 'upper_bound': '100000'}","[{'percentage': '0.000427', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.046399', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.00024', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.01745', 'age': '65+', 'gender': 'male'}, {'percentage': '0.033459', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.044878', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.084821', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.170335', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.075189', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.000694', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.136023', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.11892', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.205475', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.033806', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.028122', 'age': '65+', 'gender': 'female'}, {'percentage': '0.001894', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.001334', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000534', 'age': '18-24', 'gender': 'unknown'}]","{'lower_bound': '500', 'upper_bound': '599'}",USD,"If an employee is fired for refusing to be vaccinated against COVID-19, should they receive unemployment? https://tmsnrt.rs/3FnRsKV"
350,350,940497213277006.0,,,1.0,,,,,,,"Tickets on Sale Now Doors Music Tickets in advance at the door TICKET LINK www eventbrite com e cash flow tickets Proof of COVID vaccinations will be required for admittance to event A portion of ticket sales will go to the Show Up Collective an organization rooted in liberation working to transform community conditions that perpetuate abuse by dismantling oppressive systems building framework for safer spaces promoting healing through conversation education accountability integrity and action Learn more about the Show Up Collective at
",2022-01-25,The Silent Treatment,1167660000000000.0,,,,{'lower_bound': '1000001'},,"{'lower_bound': '0', 'upper_bound': '99'}",USD,"Take a look at these #Covid19 vaccine clinics taking place across BLMK this week. Find your nearest walk-in clinic and more info on the vaccine at www.blmkccg.nhs.uk/drop-in #GetVaxxedStayOnTrack 

Bedford Borough Council Central Bedfordshire Council Luton Council Milton Keynes Council"
351,351,1287500000000000.0,,1.0,,,,,,,,"The COVID vaccine is safe and effective and it s now available for kids ages ThisIsOurShot to help our kids get back to the things that make them happy and healthy CallYourPediatrician to learn more and schedule an appointment VaccinesWork
",2022-01-18,Wisconsin Chapter of the AAP,118124678240992.0,Wisconsin Chapter of the American Academy of Pediatrics,"[{'percentage': '0.002727', 'region': 'Illinois'}, {'percentage': '0.000536', 'region': 'Iowa'}, {'percentage': '0.007939', 'region': 'Michigan'}, {'percentage': '0.012371', 'region': 'Minnesota'}, {'percentage': '0.976427', 'region': 'Wisconsin'}]",,{'lower_bound': '1000001'},"[{'percentage': '0.000858', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.011923', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.002003', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000572', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.077026', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.05604', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.094196', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.125483', 'age': '65+', 'gender': 'male'}, {'percentage': '0.033863', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.002432', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.048552', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.021605', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.182096', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.037106', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.011113', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.294558', 'age': '65+', 'gender': 'female'}, {'percentage': '0.000382', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.000191', 'age': '18-24', 'gender': 'unknown'}]","{'lower_bound': '100', 'upper_bound': '199'}",USD,Starting January 19th you can get a free covid test delivered to your home.
352,352,1293660000000000.0,,1.0,,,,,,1.0,,"Today in the UK House of Commons I asked the Health Secretary to help us get a walk in or pop up Covid booster jab site in Winchester Am now following up his positive response with the Minister and our local NHS Hampshire Chronicle Winchester Magazine Hampshire Hospitals NHS Foundation Trust
",2021-11-29,Steve Brine MP,245990448763142.0,Stephen Charles Brine,"[{'percentage': '1', 'region': 'England'}]",,"{'lower_bound': '10001', 'upper_bound': '50000'}","[{'percentage': '0.004825', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.12193', 'age': '65+', 'gender': 'female'}, {'percentage': '0.002193', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.003947', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.095175', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.061842', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.125439', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.021053', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.113158', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.005263', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.085526', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.102193', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.09693', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.014912', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.061404', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.083333', 'age': '65+', 'gender': 'male'}, {'percentage': '0.000877', 'age': '25-34', 'gender': 'unknown'}]","{'lower_bound': '0', 'upper_bound': '99'}",GBP,The Omicron variant is a perfect opportunity for Pres Biden and his admin to give a master class in effective and honest leadership. It will be a great contrast to Trump's failed handling of Covid that was filled with lies and misinformation.  My new CNN: https://www.cnn.com/2021/11/28/opinions/omicron-variant-biden-response-obeidallah/index.html
353,353,441697060966300.0,,,,,,,,1.0,,"GO OFF SocialismSucks BigGovSucks COVID News USA Conservative TPUSA
",2022-01-25,Turning Point USA,376776419037747.0,"Turning Point USA, Inc.","[{'percentage': '0.010581', 'region': 'Alabama'}, {'percentage': '0.107523', 'region': 'Texas'}, {'percentage': '0.04104', 'region': 'New York'}, {'percentage': '0.041651', 'region': 'North Carolina'}, {'percentage': '0.044526', 'region': 'Ohio'}, {'percentage': '0.002141', 'region': 'Oklahoma'}, {'percentage': '0.001529', 'region': 'Oregon'}, {'percentage': '0.055229', 'region': 'Pennsylvania'}, {'percentage': '0.002691', 'region': 'Rhode Island'}, {'percentage': '0.011682', 'region': 'South Carolina'}, {'percentage': '0.000489', 'region': 'South Dakota'}, {'percentage': '0.014985', 'region': 'Tennessee'}, {'percentage': '0.001651', 'region': 'Utah'}, {'percentage': '0.049113', 'region': 'New Jersey'}, {'percentage': '0.033394', 'region': 'Virginia'}, {'percentage': '0.002446', 'region': 'Washington'}, {'percentage': '0.001407', 'region': 'West Virginia'}, {'percentage': '0.007034', 'region': 'Wisconsin'}, {'percentage': '0.000122', 'region': 'Alaska'}, {'percentage': '0.000245', 'region': 'Montana'}, {'percentage': '0.000612', 'region': 'New Hampshire'}, {'percentage': '0.000122', 'region': 'Wyoming'}, {'percentage': '0.000122', 'region': 'Unknown'}, {'percentage': '0.000183', 'region': 'North Dakota'}, {'percentage': '0.001223', 'region': 'New Mexico'}, {'percentage': '0.0063', 'region': 'Nevada'}, {'percentage': '0.0063', 'region': 'Arizona'}, {'percentage': '0.021284', 'region': 'Illinois'}, {'percentage': '0.009113', 'region': 'Arkansas'}, {'percentage': '0.094618', 'region': 'California'}, {'percentage': '0.00263', 'region': 'Colorado'}, {'percentage': '0.006667', 'region': 'Connecticut'}, {'percentage': '0.007829', 'region': 'Delaware'}, {'percentage': '0.005076', 'region': 'Washington, District of Columbia'}, {'percentage': '0.101896', 'region': 'Florida'}, {'percentage': '0.070642', 'region': 'Georgia'}, {'percentage': '0.004587', 'region': 'Hawaii'}, {'percentage': '0.001284', 'region': 'Idaho'}, {'percentage': '0.014312', 'region': 'Indiana'}, {'percentage': '0.001101', 'region': 'Nebraska'}, {'percentage': '0.001223', 'region': 'Iowa'}, {'percentage': '0.002141', 'region': 'Kansas'}, {'percentage': '0.010092', 'region': 'Kentucky'}, {'percentage': '0.062018', 'region': 'Louisiana'}, {'percentage': '0.000734', 'region': 'Maine'}, {'percentage': '0.051437', 'region': 'Maryland'}, {'percentage': '0.010336', 'region': 'Massachusetts'}, {'percentage': '0.032661', 'region': 'Michigan'}, {'percentage': '0.001774', 'region': 'Minnesota'}, {'percentage': '0.027523', 'region': 'Mississippi'}, {'percentage': '0.014557', 'region': 'Missouri'}, {'percentage': '0.000122', 'region': 'Vermont'}]",,{'lower_bound': '1000001'},"[{'percentage': '0.001845', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.026995', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.314537', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.616652', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.039356', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.000369', 'age': '13-17', 'gender': 'male'}, {'percentage': '0.000246', 'age': '13-17', 'gender': 'female'}]","{'lower_bound': '0', 'upper_bound': '99'}",USD,"In 2020, a racial reckoning swept through America, crystallized by the murder of George Floyd and the health inequities exposed by the Covid-19 pandemic. Race-based health calculators came under fire at many medical schools, protested by a new generation of medical students, residents, and young doctors."
354,354,458518325783922.0,,,,,,,1.0,,,"Pat Catney MLA and SDLP Minister Nichola Mallon have been working together to invest in Dromore s public realm Our market towns are key to the economic recovery after COVID with more and more people working from home across Lagan Valley
",2022-01-15,Pat Catney MLA,234927693364351.0,Patrick Joseph Catney,"[{'percentage': '1', 'region': 'Northern Ireland'}]",,"{'lower_bound': '1001', 'upper_bound': '5000'}","[{'percentage': '0.002638', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.001649', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.000659', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.000989', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.06759', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.139466', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.050115', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.089021', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.073195', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.045829', 'age': '65+', 'gender': 'female'}, {'percentage': '0.114078', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.113089', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.132542', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.092318', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.049126', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.027695', 'age': '65+', 'gender': 'male'}]","{'lower_bound': '0', 'upper_bound': '99'}",GBP,"Greg Abbott is hurting the people of Texas with his incompetence, negligence, and extremism. Instead of listening to the people he serves, Abbott has focused on advancing the agendas of his donors and keeping himself in power — regardless of the cost to the rest of us.

Just take a look at his record:

❌ Abbott abandoned Texas when the electrical grid failed, leaving millions without power and killing over 700 Texans during February's deadly winter storm.
❌ Abbott ignored science and public health advice, enacting policies to ban mask and vaccine requirements.
❌ Abbott failed to protect vulnerable Texans from Covid-19 leading to our state having the most children hospitalized with Covid once again.
❌ Abbott signed a bill into law that allows anyone to carry a loaded gun in public with no background check or training.
❌ Abbott signed into law the most extreme anti-choice, anti-women's health care bill in the country, which bans most abortions after six weeks.
❌ Abbott led the effort to restrict voting rights in Texas signing one of the most extreme voter suppression bills in the country into law.

We have less than a year to defeat Abbott and his extremism. Can you chip in $15 today to help elect Beto as the next Governor of Texas?"
355,355,360535922078984.0,,1.0,,,,,,,1.0,"Florida hospitals continue to feel squeezed between competing state and federal COVID vaccine directives even as a U S Supreme Court ruling on the legality of the Biden administration s vaccine mandate for employers is imminent
",2022-01-17,Florida Record,772624976214511.0,The Record,"[{'percentage': '1', 'region': 'Florida'}]",,{'lower_bound': '1000001'},"[{'percentage': '0.000494', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.005923', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.001974', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001974', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.001234', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.004442', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.015054', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.363277', 'age': '65+', 'gender': 'female'}, {'percentage': '0.007651', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.190523', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.004689', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.180898', 'age': '65+', 'gender': 'male'}, {'percentage': '0.134995', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.036032', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.044423', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.006417', 'age': '35-44', 'gender': 'female'}]","{'lower_bound': '0', 'upper_bound': '99'}",USD,"Special thanks to Advance Management, free COVID testing for anyone at the Save A Lot parking lot. The testing will start at 9:00 am until 4:00 pm until January 21, 2022. Please share."
356,356,3049620000000000.0,,1.0,,,,,,,,"Starting tomorrow January th every home in the U S is eligible to order at home COVID tests The tests are free of charge and orders are expected to ship in days Simply visit www covidtests gov to get started
",2022-01-18,Patrick O'Connor,58654176998.0,The O'Connor Committee,"[{'percentage': '1', 'region': 'Massachusetts'}]",,"{'lower_bound': '100001', 'upper_bound': '500000'}","[{'percentage': '0.001848', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.003697', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.007394', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.005545', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.027726', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.029575', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.048983', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.239372', 'age': '65+', 'gender': 'female'}, {'percentage': '0.167283', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.004621', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.219963', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.055453', 'age': '65+', 'gender': 'male'}, {'percentage': '0.07024', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.098891', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.005545', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.013863', 'age': '25-34', 'gender': 'male'}]","{'lower_bound': '0', 'upper_bound': '99'}",USD,Maryland State Senator Ron Watson addresses communities about the importance of getting vaccinated against COVID-19. Click Below.  #Team23
357,357,210299084510534.0,,,,,1.0,,,1.0,,"In late March the Brazilian meatpacking giant JBS reported a single case of coronavirus at its plant in Grand Island Nebraska Within days a local emergency room doctor sent an email alerting the regional health department that he had been treating numerous patients from the plant for Covid like symptoms The next day a doctor at one of the town s medical clinics recorded more cases Details in the latest edition of FERN s Back Forty See link in bio coronavirus meatpacking essentialworkers
",2021-12-10,Food & Environment Reporting Network,217026408340842.0,FOOD & ENVIRONMENT REPORTING NETWORK INC,"[{'percentage': '0.003602', 'region': 'Alaska'}, {'percentage': '0.028366', 'region': 'Ohio'}, {'percentage': '0.029041', 'region': 'Michigan'}, {'percentage': '0.017785', 'region': 'Minnesota'}, {'percentage': '0.010806', 'region': 'Missouri'}, {'percentage': '0.004953', 'region': 'Montana'}, {'percentage': '0.006529', 'region': 'New Hampshire'}, {'percentage': '0.039622', 'region': 'New Jersey'}, {'percentage': '0.009455', 'region': 'New Mexico'}, {'percentage': '0.076992', 'region': 'New York'}, {'percentage': '0.029941', 'region': 'North Carolina'}, {'percentage': '0.006979', 'region': 'Oklahoma'}, {'percentage': '0.026565', 'region': 'Maryland'}, {'percentage': '0.025889', 'region': 'Oregon'}, {'percentage': '0.040522', 'region': 'Pennsylvania'}, {'percentage': '0.005628', 'region': 'Rhode Island'}, {'percentage': '0.010806', 'region': 'South Carolina'}, {'percentage': '0.015308', 'region': 'Tennessee'}, {'percentage': '0.051778', 'region': 'Texas'}, {'percentage': '0.011932', 'region': 'Utah'}, {'percentage': '0.003152', 'region': 'Vermont'}, {'percentage': '0.026339', 'region': 'Virginia'}, {'percentage': '0.030842', 'region': 'Washington'}, {'percentage': '0.033543', 'region': 'Massachusetts'}, {'percentage': '0.008555', 'region': 'Maine'}, {'percentage': '0.006754', 'region': 'Idaho'}, {'percentage': '0.017335', 'region': 'Colorado'}, {'percentage': '0.005853', 'region': 'Mississippi'}, {'percentage': '0.002927', 'region': 'Nebraska'}, {'percentage': '0.008555', 'region': 'Nevada'}, {'percentage': '0.001351', 'region': 'North Dakota'}, {'percentage': '0.003827', 'region': 'West Virginia'}, {'percentage': '0.001351', 'region': 'South Dakota'}, {'percentage': '0.00968', 'region': 'Alabama'}, {'percentage': '0.012832', 'region': 'Arizona'}, {'percentage': '0.005853', 'region': 'Arkansas'}, {'percentage': '0.171995', 'region': 'California'}, {'percentage': '0.014183', 'region': 'Connecticut'}, {'percentage': '0.012157', 'region': 'Louisiana'}, {'percentage': '0.003377', 'region': 'Delaware'}, {'percentage': '0.007204', 'region': 'Washington, District of Columbia'}, {'percentage': '0.054705', 'region': 'Florida'}, {'percentage': '0.021387', 'region': 'Georgia'}, {'percentage': '0.010581', 'region': 'Hawaii'}, {'percentage': '0.028366', 'region': 'Illinois'}, {'percentage': '0.012832', 'region': 'Indiana'}, {'percentage': '0.004502', 'region': 'Iowa'}, {'percentage': '0.007204', 'region': 'Kansas'}, {'percentage': '0.008555', 'region': 'Kentucky'}, {'percentage': '0.011706', 'region': 'Wisconsin'}]",,{'lower_bound': '1000001'},"[{'percentage': '0.000216', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000433', 'age': '13-17', 'gender': 'male'}, {'percentage': '0.000433', 'age': '13-17', 'gender': 'female'}, {'percentage': '0.004762', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.084199', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.25671', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.035498', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.020563', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.176623', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.125758', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.161255', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.12619', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.004329', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.00303', 'age': '45-54', 'gender': 'unknown'}]","{'lower_bound': '0', 'upper_bound': '99'}",USD,"Time is running out to defend human rights. This year the Covid-19 pandemic continues to surge, Afghanistan is under abusive Taliban rule, and immigrants are mistreated in detention centers around the world. 🗺️

🛑 Our work to protect human rights and hold perpetrators accountable is not over.

Donate now and your gift to Human Rights Watch will be matched 5X to power our life-saving work."
